Wall time,Step,Value
1751787479.7372158,2048,-298.7272033691406
1751787482.9252498,4096,-325.0396423339844
1751787485.8075233,6144,-286.6623840332031
1751787488.7504084,8192,-291.57989501953125
1751787491.6554203,10240,-292.4311218261719
1751787494.5395586,12288,-294.567626953125
1751787497.612161,14336,-302.9273986816406
1751787500.6626756,16384,-303.53338623046875
1751787505.222483,18432,-309.51007080078125
1751787508.366957,20480,-312.7031555175781
1751787511.6998992,22528,-311.9095153808594
1751787514.7532434,24576,-304.9503173828125
1751787517.573048,26624,-299.17919921875
1751787520.380087,28672,-294.154296875
1751787523.4148023,30720,-295.70294189453125
1751787526.283385,32768,-300.0552062988281
1751787529.14926,34816,-298.1606140136719
1751787532.168902,36864,-294.1279296875
1751787535.1172938,38912,-291.3585205078125
1751787539.5926466,40960,-287.0723571777344
1751787542.5062692,43008,-288.6806640625
1751787545.279019,45056,-292.4935302734375
1751787548.3226626,47104,-295.9422912597656
1751787551.381573,49152,-296.0053405761719
1751787554.6641676,51200,-293.6622009277344
1751787557.9997716,53248,-297.7878112792969
1751787561.1115491,55296,-294.08612060546875
1751787564.564767,57344,-290.5715637207031
1751787567.7082345,59392,-287.9749755859375
1751787572.5499144,61440,-285.17279052734375
1751787575.6926754,63488,-281.9997253417969
1751787578.6582377,65536,-287.77752685546875
1751787581.9817991,67584,-294.8274841308594
1751787585.339392,69632,-297.12237548828125
1751787588.401842,71680,-300.1954040527344
1751787591.897156,73728,-300.1334228515625
1751787595.178624,75776,-298.3287353515625
1751787598.5892544,77824,-298.0820617675781
1751787601.987692,79872,-296.4353332519531
1751787608.007515,81920,-294.1445007324219
1751787612.6130314,83968,-292.1664123535156
1751787617.112791,86016,-290.56512451171875
1751787621.4735975,88064,-289.1407775878906
1751787625.22362,90112,-287.6694641113281
1751787628.9926026,92160,-285.8396301269531
1751787632.6709847,94208,-284.6302490234375
1751787635.987564,96256,-282.52703857421875
1751787641.515036,98304,-282.37579345703125
1751787645.1466515,100352,-280.8659973144531
1751787648.5693035,102400,-279.0404052734375
1751787652.1196709,104448,-276.2046813964844
1751787655.6951747,106496,-275.818603515625
1751787659.1414487,108544,-272.8949279785156
1751787663.044083,110592,-271.8819885253906
1751787666.5682912,112640,-269.532958984375
1751787669.7987099,114688,-266.8806457519531
1751787674.7873712,116736,-265.1663513183594
1751787678.0562837,118784,-262.0259704589844
1751787681.3232217,120832,-258.9859619140625
1751787684.9456568,122880,-256.57183837890625
1751787688.6024346,124928,-255.7417449951172
1751787692.1183393,126976,-256.15240478515625
1751787695.3870595,129024,-253.70965576171875
1751787700.062304,131072,-252.6802978515625
1751787704.5729442,133120,-249.49583435058594
1751787710.049006,135168,-248.52037048339844
1751787713.4282289,137216,-247.74330139160156
1751787717.095451,139264,-246.83480834960938
1751787720.7506428,141312,-246.80711364746094
1751787724.4886284,143360,-243.41168212890625
1751787727.8644702,145408,-239.2628936767578
1751787731.3062437,147456,-235.76885986328125
1751787734.896759,149504,-233.7303924560547
1751787738.205365,151552,-233.06494140625
1751787743.503983,153600,-229.03001403808594
1751787746.9525154,155648,-229.31365966796875
1751787750.8007553,157696,-229.3155517578125
1751787754.1322644,159744,-228.61920166015625
1751787758.0624194,161792,-231.61660766601562
1751787762.7796862,163840,-231.29750061035156
1751787766.6090977,165888,-225.4472198486328
1751787769.827597,167936,-218.2845001220703
1751787774.8114822,169984,-214.24404907226562
1751787778.430838,172032,-208.56881713867188
1751787781.7124894,174080,-207.56117248535156
1751787785.1294663,176128,-207.2696533203125
1751787788.5246625,178176,-205.37399291992188
1751787792.2512856,180224,-204.77247619628906
1751787795.7859738,182272,-204.98275756835938
1751787799.8506043,184320,-204.8294677734375
1751787804.8175466,186368,-202.8144073486328
1751787810.2083132,188416,-201.76513671875
1751787813.8308213,190464,-200.96157836914062
1751787817.468075,192512,-200.47821044921875
1751787820.8761077,194560,-199.1439208984375
1751787824.308013,196608,-199.10719299316406
1751787827.744592,198656,-196.49649047851562
1751787831.0908408,200704,-196.94393920898438
1751787834.4446802,202752,-195.71142578125
1751787837.759041,204800,-194.7216033935547
1751787842.8259273,206848,-195.1885528564453
1751787846.1189663,208896,-194.23670959472656
1751787849.7634046,210944,-191.8962860107422
1751787853.201989,212992,-190.99380493164062
1751787856.8263721,215040,-188.29505920410156
1751787861.549474,217088,-186.45887756347656
1751787865.6560276,219136,-185.46360778808594
1751787869.1901724,221184,-184.50437927246094
1751787872.678963,223232,-183.72569274902344
1751787876.2632916,225280,-182.73060607910156
1751787879.6387596,227328,-183.0989227294922
1751787883.6383972,229376,-182.17718505859375
1751787887.3708131,231424,-181.69326782226562
1751787893.0794477,233472,-180.8577423095703
1751787896.3179953,235520,-179.82888793945312
1751787899.4700227,237568,-179.57276916503906
1751787902.7577405,239616,-178.54241943359375
1751787905.956714,241664,-177.5849151611328
1751787909.5797722,243712,-176.60015869140625
1751787912.9720707,245760,-176.04014587402344
1751787916.6771047,247808,-175.02149963378906
1751787920.0744963,249856,-173.41970825195312
1751787925.2559953,251904,-172.1878662109375
1751787928.8385153,253952,-171.2236328125
1751787932.0773425,256000,-170.4954833984375
1751787935.5053332,258048,-170.3673095703125
1751787938.7650266,260096,-166.2036590576172
1751787942.1105917,262144,-165.7733917236328
1751787945.5888355,264192,-165.03948974609375
1751787948.682795,266240,-165.32830810546875
1751787952.079612,268288,-164.7760772705078
1751787955.5105753,270336,-162.45794677734375
1751787960.5442657,272384,-162.00149536132812
1751787963.8421624,274432,-161.39866638183594
1751787967.3548703,276480,-159.68629455566406
1751787970.888711,278528,-158.44805908203125
1751787974.2266123,280576,-157.09429931640625
1751787977.6168566,282624,-156.0656280517578
1751787981.0303855,284672,-154.82705688476562
1751787984.477264,286720,-155.05706787109375
1751787989.0934238,288768,-154.92408752441406
1751787994.9156513,290816,-154.0683135986328
1751787998.5411565,292864,-153.54872131347656
1751788002.500577,294912,-153.0096893310547
1751788006.3981302,296960,-152.59825134277344
1751788010.3492284,299008,-150.6497802734375
1751788014.3665187,301056,-150.5181884765625
1751788018.2411726,303104,-149.88685607910156
1751788022.024295,305152,-148.4289093017578
1751788026.9443061,307200,-148.61697387695312
1751788030.7079487,309248,-149.189453125
1751788034.6324465,311296,-149.55630493164062
1751788038.337877,313344,-149.44505310058594
1751788042.5813959,315392,-148.980712890625
1751788046.0890036,317440,-149.12042236328125
1751788049.4304228,319488,-149.1082000732422
1751788052.9661727,321536,-149.08270263671875
1751788056.6066546,323584,-148.4998779296875
1751788062.441254,325632,-148.09280395507812
1751788066.0391524,327680,-146.52207946777344
1751788070.3940248,329728,-145.7490692138672
1751788074.015142,331776,-144.5164337158203
1751788077.5327702,333824,-143.80859375
1751788081.3935812,335872,-144.20358276367188
1751788085.181822,337920,-143.5761260986328
1751788088.513636,339968,-143.1943817138672
1751788091.8742507,342016,-142.50604248046875
