Wall time,Step,Value
1751784019.551541,2048,-732.4775390625
1751784022.5001485,4096,-698.187255859375
1751784026.1641142,6144,-752.1953735351562
1751784030.4685066,8192,-682.99462890625
1751784033.8579352,10240,-599.1149291992188
1751784037.5071468,12288,-559.9850463867188
1751784041.8195615,14336,-548.0286865234375
1751784046.0192847,16384,-548.3243408203125
1751784049.8917887,18432,-522.5457763671875
1751784054.2931788,20480,-495.7796325683594
1751784059.020782,22528,-522.2728271484375
1751784063.3815377,24576,-495.0618896484375
1751784068.0785341,26624,-481.5279541015625
1751784073.2848814,28672,-480.03900146484375
1751784076.811882,30720,-501.6514892578125
1751784080.093458,32768,-506.1238098144531
1751784083.666715,34816,-520.4949340820312
1751784087.5644493,36864,-525.514404296875
1751784091.5311317,38912,-533.605224609375
1751784095.7909806,40960,-559.0422973632812
1751784099.5414467,43008,-552.8070678710938
1751784104.7788634,45056,-564.7119750976562
1751784108.47074,47104,-569.19921875
1751784113.1548264,49152,-567.9844970703125
1751784116.66045,51200,-567.4052734375
1751784119.8909454,53248,-569.7210693359375
1751784122.8495991,55296,-576.2298583984375
1751784126.3938663,57344,-572.4468383789062
1751784129.9429312,59392,-564.0926513671875
1751784133.97853,61440,-562.6085815429688
1751784139.2079659,63488,-558.7234497070312
1751784145.6638029,65536,-556.4932861328125
1751784149.8105159,67584,-552.9159545898438
1751784154.1217856,69632,-550.4540405273438
1751784158.1235278,71680,-541.1173095703125
1751784161.8593693,73728,-532.9689331054688
1751784165.8795488,75776,-526.8204345703125
1751784171.7290673,77824,-527.998046875
1751784177.2806082,79872,-526.0421752929688
1751784181.5842447,81920,-522.4765625
1751784186.3638039,83968,-519.7440185546875
1751784191.9498422,86016,-516.4456787109375
1751784196.714354,88064,-514.2985229492188
1751784200.27138,90112,-509.81671142578125
1751784203.746561,92160,-505.83685302734375
1751784209.120359,94208,-505.2591247558594
1751784214.7320457,96256,-498.68609619140625
1751784219.5382502,98304,-496.66143798828125
1751784223.675552,100352,-492.94586181640625
1751784227.7218258,102400,-481.5263977050781
1751784232.3667684,104448,-473.57208251953125
1751784237.2769191,106496,-462.73663330078125
1751784243.839609,108544,-456.85931396484375
1751784248.2786968,110592,-460.6961975097656
1751784252.94916,112640,-462.8739929199219
1751784257.886114,114688,-460.4709777832031
1751784262.3410797,116736,-461.4855651855469
1751784266.4601214,118784,-465.9957275390625
1751784270.8995528,120832,-468.83197021484375
1751784277.102989,122880,-474.26055908203125
1751784281.5307643,124928,-479.06292724609375
1751784285.538202,126976,-489.7626647949219
1751784289.6305678,129024,-487.3731994628906
1751784293.4927955,131072,-482.4222717285156
1751784297.9027936,133120,-483.6954040527344
1751784302.2132862,135168,-489.53363037109375
1751784308.486548,137216,-479.76702880859375
1751784312.818511,139264,-480.2311096191406
1751784317.0460143,141312,-476.08050537109375
1751784321.4242363,143360,-474.9191589355469
1751784325.5668318,145408,-467.7007751464844
1751784329.8092303,147456,-471.1449279785156
1751784334.02376,149504,-468.3730163574219
1751784338.2673583,151552,-466.42529296875
1751784344.00941,153600,-461.9736633300781
1751784348.3908749,155648,-457.7821350097656
1751784353.042729,157696,-456.0561218261719
1751784357.3621345,159744,-457.19659423828125
1751784361.6469321,161792,-453.2235412597656
1751784365.6836774,163840,-457.1204833984375
1751784369.829096,165888,-456.1401062011719
1751784373.8688369,167936,-456.610107421875
1751784377.8669877,169984,-455.5654602050781
1751784382.1046352,172032,-461.6532287597656
1751784386.1763341,174080,-460.02032470703125
1751784392.1923041,176128,-459.0552062988281
1751784396.3745992,178176,-458.9944763183594
1751784400.4141195,180224,-449.414794921875
1751784404.250483,182272,-444.8121032714844
1751784408.3246286,184320,-444.3040466308594
1751784412.383968,186368,-442.0201416015625
1751784416.2825613,188416,-439.23992919921875
1751784420.2894104,190464,-437.8021240234375
1751784426.0749886,192512,-436.40753173828125
1751784430.1372204,194560,-431.83123779296875
1751784434.3947651,196608,-432.66278076171875
1751784438.4901223,198656,-430.5206604003906
1751784442.4732032,200704,-430.4774169921875
1751784446.546706,202752,-432.9754638671875
1751784450.7813535,204800,-432.7681579589844
1751784455.3359425,206848,-430.9325256347656
1751784459.5622787,208896,-434.9414367675781
1751784464.7665217,210944,-434.0908203125
1751784469.4685023,212992,-429.8411560058594
1751784473.6339881,215040,-425.9151306152344
1751784477.8308241,217088,-419.6222229003906
1751784482.117329,219136,-413.6824035644531
1751784486.3234096,221184,-401.99493408203125
1751784490.9070532,223232,-392.6059265136719
1751784498.0172775,225280,-381.8357238769531
1751784502.787364,227328,-378.6407470703125
1751784507.366227,229376,-370.5517272949219
1751784511.6946027,231424,-365.8011169433594
1751784516.1091828,233472,-354.2798767089844
1751784520.5405037,235520,-340.4784240722656
1751784524.7871616,237568,-338.662841796875
1751784529.0038702,239616,-327.5182189941406
1751784532.9279091,241664,-320.815673828125
1751784536.8997529,243712,-318.45001220703125
1751784541.0267494,245760,-313.71575927734375
1751784546.2256243,247808,-303.20947265625
1751784550.7899494,249856,-300.0826110839844
1751784555.3883324,251904,-295.3891906738281
1751784559.490913,253952,-291.4948425292969
1751784563.5480971,256000,-282.4903869628906
1751784567.8240445,258048,-279.8372802734375
1751784572.245616,260096,-275.3409423828125
1751784578.1635976,262144,-269.9913330078125
1751784582.5496693,264192,-262.8847961425781
1751784586.959387,266240,-258.0746765136719
1751784591.338087,268288,-254.2604217529297
1751784595.5919833,270336,-250.4467315673828
1751784600.252348,272384,-245.90963745117188
1751784605.633458,274432,-245.51889038085938
1751784612.5839636,276480,-241.54396057128906
1751784617.5330634,278528,-240.67642211914062
1751784621.6662273,280576,-243.3287811279297
1751784625.9239693,282624,-245.17306518554688
1751784630.261592,284672,-244.58326721191406
1751784634.6860292,286720,-245.78463745117188
1751784638.9401262,288768,-244.9462890625
1751784643.2068918,290816,-245.52931213378906
1751784648.8073685,292864,-245.49012756347656
1751784652.899117,294912,-247.9363555908203
1751784657.092613,296960,-251.57896423339844
1751784661.2082388,299008,-247.90260314941406
1751784665.5217566,301056,-251.2189483642578
1751784669.8291645,303104,-250.68096923828125
1751784674.1956956,305152,-248.8359832763672
1751784679.9088964,307200,-244.6917724609375
1751784684.0028305,309248,-243.398193359375
1751784688.6494977,311296,-237.7884063720703
1751784693.1977656,313344,-236.78627014160156
1751784697.660054,315392,-234.81300354003906
1751784701.857333,317440,-233.33688354492188
1751784706.36945,319488,-233.21946716308594
1751784710.6842651,321536,-232.2422637939453
1751784715.0301406,323584,-231.0957794189453
1751784719.4635315,325632,-229.623291015625
1751784723.7427912,327680,-229.0184783935547
1751784730.125817,329728,-229.1622314453125
1751784734.8906116,331776,-229.44691467285156
1751784739.2445176,333824,-229.09832763671875
1751784743.5224404,335872,-230.05186462402344
1751784747.59031,337920,-228.066650390625
1751784751.3926933,339968,-227.6281280517578
1751784755.4854004,342016,-227.167724609375
1751784759.146786,344064,-224.759521484375
1751784764.6758282,346112,-222.02618408203125
1751784768.1470535,348160,-219.33175659179688
1751784771.92443,350208,-217.78993225097656
1751784776.6766727,352256,-216.16244506835938
1751784781.8752909,354304,-216.2589111328125
1751784786.7941248,356352,-216.87449645996094
1751784793.2890155,358400,-217.07113647460938
1751784799.0045903,360448,-217.22695922851562
1751784803.1936846,362496,-216.39041137695312
1751784807.4975834,364544,-214.4119415283203
1751784812.1669157,366592,-214.478515625
1751784816.6255507,368640,-212.99298095703125
1751784820.9295418,370688,-213.0686798095703
1751784825.0295641,372736,-213.8246307373047
1751784830.5982535,374784,-212.39381408691406
1751784834.7148361,376832,-213.46324157714844
1751784838.8505168,378880,-212.4170379638672
1751784843.0311286,380928,-210.12515258789062
