Wall time,Step,Value
1751649103.0982063,4000,-197.2512664794922
1751649167.7332282,8000,-233.4131622314453
1751649235.9197538,12000,-233.5554962158203
1751649314.9634573,16000,-239.98013305664062
1751649395.0107207,20000,-274.5263671875
1751649476.8358438,24000,-282.9885559082031
1751649559.8780425,28000,-292.0400390625
1751649640.206482,32000,-312.2020568847656
1751649720.0305104,36000,-317.2298889160156
1751649800.9221191,40000,-303.8360595703125
1751649898.869817,44000,-312.0162658691406
1751650003.7967596,48000,-302.908935546875
1751650108.704437,52000,-294.56256103515625
1751650208.1079361,56000,-287.6971130371094
1751650304.8673086,60000,-281.57073974609375
1751650404.3246582,64000,-284.1156005859375
1751650492.4884682,68000,-279.55279541015625
1751650589.633164,72000,-284.8785095214844
1751650686.857061,76000,-278.0941467285156
1751650777.8515291,80000,-272.62188720703125
1751650862.885228,84000,-267.8919982910156
1751650944.9662821,88000,-261.4864501953125
1751651027.5757675,92000,-258.1265869140625
1751651113.3142698,96000,-255.9780731201172
1751651196.1150515,100000,-251.70797729492188
1751651279.3961048,104000,-250.34690856933594
1751651368.9921618,108000,-245.80258178710938
1751651461.5134954,112000,-243.93951416015625
1751651553.7020693,116000,-239.59832763671875
1751651639.2441127,120000,-230.92642211914062
1751651724.199328,124000,-224.1692657470703
1751651807.3719614,128000,-216.94012451171875
1751651892.905349,132000,-205.5859832763672
1751651975.8130662,136000,-196.9292755126953
1751652061.326052,140000,-196.1160125732422
1751652150.4924932,144000,-186.07666015625
1751652238.4777136,148000,-182.56268310546875
1751652347.9854693,152000,-179.63796997070312
1751652446.627072,156000,-177.5883026123047
1751652543.7670555,160000,-174.02590942382812
1751652641.27682,164000,-166.3138885498047
1751652743.439736,168000,-162.83340454101562
1751652836.11832,172000,-152.20277404785156
1751652927.5046403,176000,-151.7520751953125
1751653019.441777,180000,-150.69569396972656
1751653111.0778754,184000,-148.63645935058594
1751653198.40831,188000,-148.2072296142578
1751653292.3507795,192000,-146.24948120117188
1751653384.3526757,196000,-141.9965362548828
1751653470.7586136,200000,-140.51663208007812
1751653560.5221868,204000,-140.5294952392578
1751653647.6562874,208000,-140.79249572753906
1751653737.3963008,212000,-138.07644653320312
1751653822.5919356,216000,-136.32118225097656
1751653914.4328854,220000,-133.17193603515625
1751654006.6299407,224000,-131.8978271484375
1751654096.4638827,228000,-129.03472900390625
1751654183.7672963,232000,-127.7138442993164
1751654276.6265433,236000,-126.16259002685547
1751654365.8944497,240000,-123.7448959350586
1751654450.3275588,244000,-123.65593719482422
1751654537.2494702,248000,-122.520263671875
1751654625.0775976,252000,-122.7713394165039
1751654706.9540195,256000,-122.00588989257812
1751654792.3909695,260000,-122.27318572998047
1751654882.2002876,264000,-121.51625061035156
1751654974.334162,268000,-121.40664672851562
1751655057.5474954,272000,-123.135986328125
1751655139.503945,276000,-121.68360900878906
1751655221.5781057,280000,-120.95867919921875
1751655306.194806,284000,-119.43270111083984
1751655387.9331076,288000,-117.86801147460938
1751655473.4055965,292000,-115.99899291992188
1751655555.4076254,296000,-115.76195526123047
1751655637.1186848,300000,-114.81681823730469
1751655721.7695403,304000,-111.8228530883789
1751655804.13559,308000,-108.98359680175781
1751655886.1208582,312000,-110.12084197998047
1751655970.9291837,316000,-109.50337982177734
1751656052.909088,320000,-108.435546875
1751656136.3070521,324000,-106.42438507080078
1751656221.101553,328000,-105.78611755371094
1751656302.6936936,332000,-104.01253509521484
