Wall time,Step,Value
1751436248.681616,4000,-463.2815246582031
1751436347.9187179,8000,-385.2895812988281
1751436448.988777,12000,-528.8515014648438
1751436580.3396142,16000,-510.9971923828125
1751436678.351205,20000,-537.37060546875
1751436764.7839491,24000,-553.1182250976562
1751436850.2874494,28000,-577.6405639648438
1751436940.01163,32000,-603.1586303710938
1751437025.7305586,36000,-585.1047973632812
1751437115.6650705,40000,-550.7664184570312
1751437202.6243885,44000,-535.1233520507812
1751437291.9081733,48000,-522.5230712890625
1751437379.0489008,52000,-498.1407470703125
1751437508.1147306,56000,-478.11676025390625
1751437597.3213549,60000,-459.0397033691406
1751437692.2703125,64000,-446.0124816894531
1751437787.88275,68000,-433.4463806152344
1751437885.8943677,72000,-429.65875244140625
1751437992.208938,76000,-421.14971923828125
1751438112.148173,80000,-413.2872009277344
1751438205.734831,84000,-405.8987731933594
1751438304.6597974,88000,-405.7372131347656
1751438403.5877793,92000,-401.67327880859375
1751438505.7350876,96000,-395.7463073730469
1751438611.7903802,100000,-390.3439636230469
1751438721.7442498,104000,-380.687255859375
1751438824.8343194,108000,-379.5826416015625
1751438921.8146448,112000,-354.4559020996094
1751439027.0927882,116000,-345.1118469238281
1751439138.9643803,120000,-327.7850036621094
1751439242.731553,124000,-311.9625244140625
1751439343.799398,128000,-291.94793701171875
1751439445.416161,132000,-271.0653076171875
1751439544.77295,136000,-264.8744201660156
1751439643.0583725,140000,-264.0948486328125
1751439748.0839057,144000,-258.4957580566406
1751439852.7371979,148000,-258.2388000488281
1751439957.9032924,152000,-264.0487976074219
1751440060.396039,156000,-261.1322021484375
1751440158.590806,160000,-262.0517578125
1751440262.3064382,164000,-261.0841064453125
1751440363.5335255,168000,-259.95550537109375
1751440464.8115716,172000,-253.46829223632812
1751440564.648416,176000,-251.87806701660156
1751440660.660858,180000,-248.5606231689453
1751440760.6246836,184000,-246.00462341308594
1751440861.6698687,188000,-240.63963317871094
1751440958.7588224,192000,-238.54150390625
1751441070.1000948,196000,-237.61570739746094
1751441172.1568277,200000,-236.46151733398438
1751441259.3195336,204000,-240.05690002441406
1751441362.512365,208000,-234.48333740234375
1751441465.8310828,212000,-232.47845458984375
1751441579.8210618,216000,-231.88290405273438
1751441682.4095633,220000,-230.91493225097656
1751441788.260294,224000,-229.8317108154297
1751441899.1850445,228000,-233.0267333984375
1751442007.0618465,232000,-230.3126220703125
1751442111.4049828,236000,-227.6639404296875
1751442214.7360802,240000,-226.78411865234375
1751442324.166592,244000,-224.58956909179688
1751442429.6703513,248000,-217.59341430664062
1751442531.5155797,252000,-213.49356079101562
1751442630.345879,256000,-217.56771850585938
1751442728.1459696,260000,-215.5745849609375
1751442827.4407096,264000,-212.3577117919922
1751442933.9203959,268000,-213.02719116210938
1751443023.6197088,272000,-214.4701690673828
1751443116.0540628,276000,-212.79339599609375
1751443211.729415,280000,-213.78543090820312
