Wall time,Step,Value
1751731117.334427,4000,-552.2047119140625
1751731171.7814782,8000,-596.7523193359375
1751731233.4343185,12000,-559.8403930664062
1751731299.017726,16000,-546.2648315429688
1751731363.2772849,20000,-566.8652954101562
1751731432.5549643,24000,-532.42529296875
1751731495.9602602,28000,-536.9828491210938
1751731561.992952,32000,-506.1267395019531
1751731628.0563784,36000,-482.0197448730469
1751731681.1561263,40000,-466.6659851074219
1751731738.2460651,44000,-460.88037109375
1751731797.734829,48000,-469.0755920410156
1751731853.3809083,52000,-465.4557189941406
1751731913.8074467,56000,-450.05816650390625
1751731972.308177,60000,-446.7541809082031
1751732032.330887,64000,-449.737548828125
1751732092.9767756,68000,-442.63623046875
1751732154.062459,72000,-437.5814514160156
1751732215.3956149,76000,-442.7951965332031
1751732276.658216,80000,-444.051513671875
1751732338.465167,84000,-440.84423828125
1751732400.0508597,88000,-433.2056579589844
1751732461.8933976,92000,-428.27655029296875
1751732523.7074256,96000,-428.2854919433594
1751732585.35552,100000,-425.0775451660156
1751732647.0023532,104000,-415.9939880371094
1751732709.1571932,108000,-404.1085510253906
1751732771.7626674,112000,-400.5702819824219
1751732834.2083151,116000,-394.6435546875
1751732896.94107,120000,-378.1192932128906
1751732959.8033192,124000,-372.2000732421875
1751733022.971834,128000,-366.2403564453125
1751733086.2055697,132000,-372.20306396484375
1751733149.0245986,136000,-371.5885925292969
1751733211.9335694,140000,-372.6687316894531
1751733275.0330274,144000,-369.66998291015625
1751733338.12366,148000,-363.729736328125
1751733400.984615,152000,-356.239013671875
1751733463.9693773,156000,-359.67523193359375
1751733526.8830428,160000,-357.3385314941406
1751733589.6457357,164000,-354.0016174316406
1751733652.2191126,168000,-354.8107604980469
1751733715.2058706,172000,-358.0898132324219
1751733777.9576895,176000,-354.49285888671875
1751733840.6523762,180000,-345.8086242675781
1751733903.1830997,184000,-341.43902587890625
1751733965.6145113,188000,-348.0915222167969
1751734028.199573,192000,-346.64813232421875
1751734090.9631155,196000,-339.6083679199219
1751734154.152085,200000,-336.4794921875
