Wall time,Step,Value
1751754852.653551,4000,-1121.035888671875
1751754895.0675664,8000,-1400.82470703125
1751754947.2782888,12000,-1322.2642822265625
1751755001.2232213,16000,-1196.1558837890625
1751755055.2591863,20000,-1170.8267822265625
1751755109.1539655,24000,-1203.485595703125
1751755163.452824,28000,-1142.5107421875
1751755217.007496,32000,-1141.32080078125
1751755270.6575599,36000,-1169.94873046875
1751755324.6094098,40000,-1187.116455078125
1751755378.9676147,44000,-1173.830078125
1751755433.9022,48000,-1176.1700439453125
1751755489.4410348,52000,-1173.2451171875
1751755546.1640303,56000,-1128.1593017578125
1751755603.1820283,60000,-1106.7396240234375
1751755660.9958305,64000,-1078.5126953125
1751755719.7044032,68000,-1083.2938232421875
1751755779.6442049,72000,-1071.052001953125
1751755840.265146,76000,-1056.3804931640625
1751755901.0739264,80000,-1037.65283203125
1751755962.0602145,84000,-1034.77490234375
1751756022.927148,88000,-1019.0985107421875
1751756084.3351007,92000,-1008.9641723632812
1751756145.8125348,96000,-997.1822509765625
1751756207.5165896,100000,-982.8601684570312
1751756269.4679568,104000,-954.7380981445312
1751756331.570243,108000,-923.301513671875
1751756393.8271687,112000,-919.81787109375
1751756456.1827216,116000,-924.9420776367188
1751756518.4559443,120000,-904.7706909179688
1751756580.6860867,124000,-885.3035888671875
1751756642.883808,128000,-876.1428833007812
1751756705.4349616,132000,-855.5338745117188
1751756768.5534499,136000,-827.8770141601562
1751756831.572985,140000,-798.91162109375
1751756893.9944742,144000,-798.0100708007812
1751756956.9689677,148000,-763.330078125
1751757019.5515664,152000,-732.47314453125
1751757082.271838,156000,-724.9863891601562
1751757145.2258704,160000,-725.88671875
1751757208.0216687,164000,-720.6616821289062
1751757270.3056865,168000,-705.6373291015625
1751757333.024519,172000,-682.1721801757812
1751757395.5796094,176000,-676.5857543945312
1751757458.008372,180000,-668.94775390625
1751757521.124753,184000,-652.1030883789062
1751757584.3917897,188000,-637.4285888671875
1751757647.5870535,192000,-623.053466796875
1751757710.4677181,196000,-622.3674926757812
1751757773.0375767,200000,-618.73388671875
1751757835.9987304,204000,-616.093994140625
1751757898.4356067,208000,-608.4971313476562
1751757961.7589657,212000,-595.957763671875
1751758024.258511,216000,-587.0083618164062
1751758087.152845,220000,-594.0150756835938
1751758149.8760505,224000,-587.7801513671875
1751758212.9448068,228000,-583.7505493164062
1751758276.3603067,232000,-586.3370361328125
1751758340.4260595,236000,-570.77587890625
1751758403.1990385,240000,-562.3541259765625
1751758465.6042352,244000,-543.10009765625
1751758528.450212,248000,-550.0255737304688
1751758590.7384584,252000,-562.2300415039062
1751758653.1034133,256000,-572.4535522460938
1751758715.4166155,260000,-565.225341796875
1751758778.0828643,264000,-565.4141235351562
1751758840.4677422,268000,-561.1260375976562
1751758902.8903792,272000,-585.6935424804688
1751758965.4560885,276000,-587.5811157226562
1751759027.8122196,280000,-589.9069213867188
1751759090.3128858,284000,-596.8355102539062
1751759153.019624,288000,-607.4168090820312
1751759215.4079804,292000,-621.4446411132812
1751759277.7416477,296000,-606.8707885742188
1751759340.2624993,300000,-599.6671142578125
1751759403.0348203,304000,-603.8245239257812
1751759465.5116203,308000,-613.2534790039062
1751759528.1903183,312000,-606.9038696289062
1751759591.120946,316000,-595.824462890625
1751759654.3701668,320000,-589.3008422851562
1751759717.9713123,324000,-576.9124755859375
1751759781.2279127,328000,-580.7733154296875
1751759844.5608919,332000,-580.654541015625
1751759908.1067512,336000,-587.9996337890625
1751759971.1240299,340000,-587.993408203125
1751760034.3788288,344000,-586.777587890625
1751760097.7006752,348000,-592.6025390625
1751760160.1464155,352000,-582.893310546875
1751760222.8311474,356000,-580.6716918945312
1751760285.3648021,360000,-581.32275390625
1751760347.8233519,364000,-588.2779541015625
1751760411.3512795,368000,-581.9246215820312
1751760474.4149075,372000,-575.8511352539062
1751760536.9307241,376000,-567.5623168945312
1751760599.231455,380000,-556.4086303710938
1751760661.6375127,384000,-540.64208984375
1751760724.2314646,388000,-535.3958129882812
1751760786.9957855,392000,-527.5281982421875
1751760849.3108938,396000,-530.7510986328125
1751760911.7625654,400000,-531.2388916015625
1751760974.7252429,404000,-530.9158935546875
1751761037.3294537,408000,-510.23614501953125
1751761099.87361,412000,-504.7549743652344
1751761162.3627985,416000,-498.5132141113281
1751761225.020888,420000,-487.06683349609375
1751761287.9577181,424000,-487.5360412597656
1751761351.0413764,428000,-486.280029296875
1751761413.7533066,432000,-475.3514709472656
1751761477.006892,436000,-479.1206359863281
1751761540.0789442,440000,-495.4843444824219
1751761602.7812984,444000,-504.474609375
1751761665.9455297,448000,-502.1014404296875
1751761728.367911,452000,-502.5428161621094
1751761791.351287,456000,-497.4969177246094
1751761854.402304,460000,-487.44561767578125
1751761917.6735544,464000,-480.1221923828125
1751761980.3133218,468000,-480.1455993652344
1751762042.6354644,472000,-464.3277893066406
1751762104.9856246,476000,-467.6499328613281
1751762167.481031,480000,-475.1841125488281
1751762230.3323112,484000,-480.9981689453125
1751762293.1774874,488000,-476.68438720703125
1751762355.582235,492000,-473.99688720703125
1751762418.7060347,496000,-474.3082275390625
1751762481.051209,500000,-474.2442626953125
1751762543.462978,504000,-474.9852600097656
1751762606.1099157,508000,-471.8036193847656
1751762668.6209676,512000,-465.1175842285156
1751762731.227713,516000,-473.5091857910156
1751762793.878186,520000,-472.4343566894531
1751762856.3590817,524000,-473.6753845214844
1751762918.8385592,528000,-473.5316467285156
1751762981.1094363,532000,-488.0357666015625
1751763043.8543549,536000,-477.0832824707031
1751763106.8114762,540000,-457.69415283203125
1751763169.8608775,544000,-444.8804931640625
1751763233.1365993,548000,-431.1697082519531
1751763296.1351454,552000,-426.56982421875
1751763359.1375499,556000,-429.0619812011719
1751763421.925556,560000,-426.7793884277344
1751763485.0398471,564000,-416.6054992675781
1751763547.6640825,568000,-403.997802734375
1751763610.2190654,572000,-402.1629943847656
1751763672.7238917,576000,-387.99560546875
1751763735.366302,580000,-379.1685791015625
1751763797.7141745,584000,-370.3855895996094
1751763860.39608,588000,-371.768310546875
1751763922.8977983,592000,-370.0600891113281
1751763985.5100071,596000,-361.1437683105469
1751764048.419616,600000,-366.5016174316406
1751764110.8299634,604000,-363.1643981933594
1751764173.0909176,608000,-359.4413757324219
1751764235.6511383,612000,-356.6050109863281
1751764298.6678753,616000,-346.5838317871094
1751764361.5100582,620000,-353.993408203125
1751764424.3620188,624000,-345.79498291015625
1751764486.7017095,628000,-344.8533630371094
1751764549.0640423,632000,-326.8128356933594
1751764611.7549856,636000,-323.7260437011719
1751764674.2483242,640000,-320.74224853515625
1751764737.1485596,644000,-318.82757568359375
1751764799.7186751,648000,-317.47174072265625
1751764862.0472746,652000,-315.8757019042969
1751764925.15937,656000,-306.8204345703125
1751764987.709029,660000,-303.0973815917969
1751765050.1588664,664000,-302.3545837402344
1751765112.8114078,668000,-303.355712890625
1751765175.541687,672000,-312.3175964355469
1751765238.200136,676000,-313.8908386230469
1751765300.5266829,680000,-317.5405578613281
1751765363.369926,684000,-322.3041076660156
1751765427.2678134,688000,-318.5401611328125
1751765490.994217,692000,-312.7735595703125
1751765554.9081998,696000,-316.6940612792969
1751765618.0089805,700000,-314.0818786621094
1751765681.564353,704000,-309.2503967285156
1751765744.5940702,708000,-311.1538391113281
1751765807.3492396,712000,-318.05621337890625
1751765869.8020062,716000,-323.4453430175781
1751765932.380779,720000,-317.91436767578125
1751765995.3636386,724000,-318.9684753417969
1751766057.8817024,728000,-309.257568359375
1751766120.6931481,732000,-307.07733154296875
1751766182.4396222,736000,-310.04327392578125
1751766245.0567937,740000,-309.6985168457031
