#{"t_start": 1751357340.0594146, "env_id": "rehabbot/rehab-reach-v0"}
r,l,t
-387.811876,1000,42.879455
-470.990869,1000,115.204377
-1307.459551,1000,197.182294
-1174.674885,1000,272.461758
-1198.55348,1000,342.793393
-713.59885,1000,415.230888
-731.516639,1000,479.187674
-1379.755191,1000,544.680717
-1110.443383,1000,615.549168
-1251.596372,1000,681.19921
-1009.425148,1000,764.698534
-1159.358,1000,838.695938
-1582.257881,1000,914.541073
-1271.697216,1000,992.99145
-722.746259,1000,1071.946262
-1071.616753,1000,1156.887382
-1144.803835,1000,1230.986265
-853.994115,1000,1311.700484
-1232.623052,1000,1391.060911
-1258.426299,1000,1469.131943
-1006.753463,1000,1551.181987
-690.173555,1000,1622.919579
-1244.074664,1000,1699.504567
-752.91644,1000,1769.298618
-685.921835,1000,1838.709221
-1220.250505,1000,1922.683579
-1000.271915,1000,1989.056812
-1113.146355,1000,2058.50559
-1408.516453,1000,2124.653594
-1249.860548,1000,2193.616349
-1267.943676,1000,2274.223533
-1875.408013,1000,2341.647431
-1189.059307,1000,2406.763185
-641.073352,1000,2470.037358
-950.614785,1000,2546.139258
-698.081851,1000,2625.388258
-682.675277,1000,2695.142565
-1193.433585,1000,2765.845753
-1795.047396,1000,2836.315063
-974.128037,1000,2900.703633
-1809.330854,1000,2965.826573
-631.91825,1000,3031.304031
-1038.445442,1000,3098.288121
-1105.623136,1000,3156.531621
-870.261231,1000,3227.155126
-1495.837141,1000,3301.630343
-1225.927695,1000,3368.002616
-583.530046,1000,3447.815949
-1051.463931,1000,3509.886712
-945.534417,1000,3577.209332
